$ pypy -V
Python 2.7.10 (0e2d9a73f5a1818d0245d75daccdbe21b2d5c3ef, Sep 09 2016, 08:57:59)
[PyPy 5.4.1 with GCC 6.1.1 20160621 (Red Hat 6.1.1-3)]

$ pypy runtests.py -v
test_parallel_3 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_parallel_4 (numba.tests.npyufunc.test_vectorize_decor.TestVectorizeDecor) ... ok
test_basic_gufunc (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuilding) ... ok
test_gufunc_struct (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuilding) ... ok
test_gufunc_struct_forceobj (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuilding) ... ERROR
test_basic_gufunc (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuildingJitDisabled) ... ok
test_gufunc_struct (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuildingJitDisabled) ... ok
test_gufunc_struct_forceobj (numba.tests.npyufunc.test_ufuncbuilding.TestGUfuncBuildingJitDisabled) ... ERROR
test_basic_ufunc (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuilding) ... ok
test_nested_call (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuilding) ... ok
test_nested_call_explicit (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuilding) ... ok
test_ufunc_forceobj (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuilding) ... ok
test_ufunc_struct (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuilding) ... ok
test_basic_ufunc (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuildingJitDisabled) ... ok
test_nested_call (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuildingJitDisabled) ... ok
test_nested_call_explicit (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuildingJitDisabled) ... ok
test_ufunc_forceobj (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuildingJitDisabled) ... ok
test_ufunc_struct (numba.tests.npyufunc.test_ufuncbuilding.TestUfuncBuildingJitDisabled) ... ok
test_guvectorize (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_guvectorize_error_in_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ERROR
test_guvectorize_identity (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_guvectorize_invalid_layout (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_guvectorize_no_output (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_guvectorize_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ERROR
test_guvectorize_scalar_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ERROR
test_vectorize (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_bool_return (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_identity (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_no_args (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_objmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_only_kws (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_vectorize_output_kwarg (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecor) ... ok
test_guvectorize (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_guvectorize_error_in_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ERROR
test_guvectorize_identity (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_guvectorize_invalid_layout (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_guvectorize_no_output (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_guvectorize_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ERROR
test_guvectorize_scalar_objectmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ERROR
test_vectorize (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_bool_return (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_identity (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_no_args (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_objmode (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_only_kws (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_vectorize_output_kwarg (numba.tests.npyufunc.test_ufuncbuilding.TestVectorizeDecorJitDisabled) ... ok
test_gufunc (numba.tests.npyufunc.test_gufunc.TestGUFunc) ... ok
test_guvectorize_decor (numba.tests.npyufunc.test_gufunc.TestGUFunc) ... ok
test_ufunc_like (numba.tests.npyufunc.test_gufunc.TestGUFunc) ... ok
test_gufunc (numba.tests.npyufunc.test_gufunc.TestGUFuncParallel) ... ok
test_guvectorize_decor (numba.tests.npyufunc.test_gufunc.TestGUFuncParallel) ... ok
test_ufunc_like (numba.tests.npyufunc.test_gufunc.TestGUFuncParallel) ... ok
test_ndim_mismatch (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalar) ... ok
test_scalar_input (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalar) ... ok
test_scalar_input_core_type (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalar) ... ok
test_scalar_input_core_type_error (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalar) ... ok
test_scalar_output (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalar) ... ok
test_ndim_mismatch (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalarParallel) ... ok
test_scalar_input (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalarParallel) ... ok
test_scalar_input_core_type (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalarParallel) ... ok
test_scalar_input_core_type_error (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalarParallel) ... ok
test_scalar_output (numba.tests.npyufunc.test_gufunc.TestGUVectorizeScalarParallel) ... ok
test_num_threads_variable (numba.tests.npyufunc.test_parallel_env_variable.TestParallelEnvVariable) ... ok
test_low_workcount (numba.tests.npyufunc.test_parallel_low_work.TestParallelLowWorkCount) ... ok
test_broadcasting (numba.tests.npyufunc.test_ufunc.TestUFuncs) ... ok
test_implicit_broadcasting (numba.tests.npyufunc.test_ufunc.TestUFuncs) ... ok
test_ufunc_attributes (numba.tests.npyufunc.test_ufunc.TestUFuncs) ... ok
test_getitem_array (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ERROR
test_getitem_tuple (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ERROR
test_getitem_tuple_and_ellipsis (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ERROR
test_setitem_array (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ok
test_setitem_tuple (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ok
test_setitem_tuple_and_ellipsis (numba.tests.test_fancy_indexing.TestFancyIndexing) ... ok
test_andor (numba.tests.test_usecases.TestUsecases) ... ok
test_blackscholes_cnd (numba.tests.test_usecases.TestUsecases) ... ok
test_copy_arrays (numba.tests.test_usecases.TestUsecases) ... ok
test_copy_arrays2d (numba.tests.test_usecases.TestUsecases) ... ok
test_string_comparisons (numba.tests.test_usecases.TestUsecases) ... ok
test_string_concat (numba.tests.test_usecases.TestUsecases) ... ok
test_string_conversion (numba.tests.test_usecases.TestUsecases) ... ok
test_string_len (numba.tests.test_usecases.TestUsecases) ... ok
test_string_slicing (numba.tests.test_usecases.TestUsecases) ... ok
test_sum1d (numba.tests.test_usecases.TestUsecases) ... ok
test_sum1d_pyobj (numba.tests.test_usecases.TestUsecases) ... ok
test_sum2d (numba.tests.test_usecases.TestUsecases) ... ok
test_while_count (numba.tests.test_usecases.TestUsecases) ... ok
test_assert_statement_nopython (numba.tests.test_exceptions.TestRaising) ... ERROR
test_assert_statement_objmode (numba.tests.test_exceptions.TestRaising) ... ERROR
test_raise_class_nopython (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_class_objmode (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_instance_nopython (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_instance_objmode (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_invalid_class_nopython (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_invalid_class_objmode (numba.tests.test_exceptions.TestRaising) ... ERROR
test_raise_nested (numba.tests.test_exceptions.TestRaising) ... ok
test_raise_nested_npm (numba.tests.test_exceptions.TestRaising) ... ok
test_reraise_nopython (numba.tests.test_exceptions.TestRaising) ... ERROR
test_reraise_objmode (numba.tests.test_exceptions.TestRaising) ... ERROR
test_unituple_index_error (numba.tests.test_exceptions.TestRaising) ... ok
test_issue_455 (numba.tests.test_dyn_func.TestDynFunc) ... ok
test_loop1_int16 (numba.tests.test_range.TestRange) ... ok
test_loop2_int16 (numba.tests.test_range.TestRange) ... ok
test_loop3_int32 (numba.tests.test_range.TestRange) ... ok
test_xrange (numba.tests.test_range.TestRange) ... ok
test_cc_properties (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_compile (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_compile_for_cpu (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_compile_for_cpu_host (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_compile_helperlib (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_compile_nrt (numba.tests.test_pycc.TestCC) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_setup_py_distutils (numba.tests.test_pycc.TestDistutilsSupport) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_setup_py_setuptools (numba.tests.test_pycc.TestDistutilsSupport) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_pycc_bitcode (numba.tests.test_pycc.TestLegacyAPI) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_pycc_ctypes_lib (numba.tests.test_pycc.TestLegacyAPI) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_pycc_pymodule (numba.tests.test_pycc.TestLegacyAPI) ... skipped 'PYPY FIXME - no support for pycc on pypy'
test_1d (numba.tests.test_numberctor.TestArrayNumberCtor) ... ERROR
test_2d (numba.tests.test_numberctor.TestArrayNumberCtor) ... ERROR
test_bool (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_complex (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_complex2 (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_float (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_int (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_numba_types (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_numpy_types (numba.tests.test_numberctor.TestScalarNumberCtor) ... ok
test_cache (numba.tests.test_compile_cache.TestCompileCache) ... ok
test_closures (numba.tests.test_compile_cache.TestCompileCache) ... ok
test_error_model (numba.tests.test_compile_cache.TestCompileCache) ... ok
test_angle (numba.tests.test_np_functions.TestNPFunctions) ... ok
test_bincount1 (numba.tests.test_np_functions.TestNPFunctions) ... ERROR
test_bincount2 (numba.tests.test_np_functions.TestNPFunctions) ... ERROR
test_diff1 (numba.tests.test_np_functions.TestNPFunctions) ... ok
test_diff2 (numba.tests.test_np_functions.TestNPFunctions) ... ok
test_digitize (numba.tests.test_np_functions.TestNPFunctions) ... ERROR
test_histogram (numba.tests.test_np_functions.TestNPFunctions) ... ok
test_searchsorted (numba.tests.test_np_functions.TestNPFunctions) ... ERROR
test_sinc (numba.tests.test_np_functions.TestNPFunctions) ... ok
test_add_sub_timedelta (numba.tests.test_npdatetime.TestDatetimeArithmetic) ... /home/graham/pypy/pypy-5.4.1-linux/lib-python/2.7/unittest/case.py:505: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  if not first == second:
ok
test_comparisons (numba.tests.test_npdatetime.TestDatetimeArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:680: FutureWarning: In the future, 'NAT < x' and 'x < NAT' will always be False.
  self.assertPreciseEqual(lt(a, b), expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:681: FutureWarning: In the future, 'NAT > x' and 'x > NAT' will always be False.
  self.assertPreciseEqual(gt(b, a), expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:662: FutureWarning: In the future, NAT != NAT will be True rather than False.
  self.assertPreciseEqual(ne(a, b), not expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:688: FutureWarning: In the future, 'NAT < x' and 'x < NAT' will always be False.
  self.assertPreciseEqual(a < b, expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:660: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  self.assertPreciseEqual(eq(a, b), expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:661: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  self.assertPreciseEqual(eq(b, a), expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:663: FutureWarning: In the future, NAT != NAT will be True rather than False.
  self.assertPreciseEqual(ne(b, a), not expected, (a, b, expected))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:666: FutureWarning: In the future, 'NAT <= x' and 'x <= NAT' will always be False.
  self.assertTrue(le(a, b), (a, b))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:667: FutureWarning: In the future, 'NAT >= x' and 'x >= NAT' will always be False.
  self.assertTrue(ge(a, b), (a, b))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:668: FutureWarning: In the future, 'NAT <= x' and 'x <= NAT' will always be False.
  self.assertTrue(le(b, a), (a, b))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:669: FutureWarning: In the future, 'NAT >= x' and 'x >= NAT' will always be False.
  self.assertTrue(ge(b, a), (a, b))
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:676: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  self.assertPreciseEqual(a == b, expected)
ok
test_datetime_difference (numba.tests.test_npdatetime.TestDatetimeArithmetic) ... ok
test_add_sub_timedelta (numba.tests.test_npdatetime.TestDatetimeArithmeticNoPython) ... ok
test_comparisons (numba.tests.test_npdatetime.TestDatetimeArithmeticNoPython) ... ok
test_datetime_difference (numba.tests.test_npdatetime.TestDatetimeArithmeticNoPython) ... ok
test_datetime (numba.tests.test_npdatetime.TestMetadataScalingFactor) ... ok
test_datetime_npm (numba.tests.test_npdatetime.TestMetadataScalingFactor) ... ok
test_timedelta (numba.tests.test_npdatetime.TestMetadataScalingFactor) ... ok
test_timedelta_npm (numba.tests.test_npdatetime.TestMetadataScalingFactor) ... ok
test_constant_datetime (numba.tests.test_npdatetime.TestMiscCompiling) ... ok
test_constant_timedelta (numba.tests.test_npdatetime.TestMiscCompiling) ... ok
test_jit_explicit_signature (numba.tests.test_npdatetime.TestMiscCompiling) ... ok
test_vectorize_explicit_signature (numba.tests.test_npdatetime.TestMiscCompiling) ... ok
test_can_cast_timedelta (numba.tests.test_npdatetime.TestModuleHelpers) ... ok
test_combine_datetime_timedelta_units (numba.tests.test_npdatetime.TestModuleHelpers) ... ok
test_datetime_timedelta_scaling (numba.tests.test_npdatetime.TestModuleHelpers) ... ok
test_same_kind (numba.tests.test_npdatetime.TestModuleHelpers) ... ok
test_timedelta_conversion (numba.tests.test_npdatetime.TestModuleHelpers) ... ok
test_abs (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_add (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_div (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:336: RuntimeWarning: divide by zero encountered in divide
  self.assertPreciseEqual(div(a, b), expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:337: RuntimeWarning: divide by zero encountered in floor_divide
  self.assertPreciseEqual(floordiv(a, b), expected)
ok
test_eq_ne (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:383: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  self.assertPreciseEqual(eq(a, b), expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:384: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  self.assertPreciseEqual(eq(b, a), expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:385: FutureWarning: In the future, NAT != NAT will be True rather than False.
  self.assertPreciseEqual(ne(a, b), not expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:386: FutureWarning: In the future, NAT != NAT will be True rather than False.
  self.assertPreciseEqual(ne(b, a), not expected)
ok
test_homogenous_div (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:359: RuntimeWarning: divide by zero encountered in divide
  self.assertPreciseEqual(div(a, b), expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:359: RuntimeWarning: invalid value encountered in divide
  self.assertPreciseEqual(div(a, b), expected)
ok
test_le_gt (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:439: FutureWarning: In the future, 'NAT <= x' and 'x <= NAT' will always be False.
  self.assertPreciseEqual(le(a, b), expected)
ok
test_lt_ge (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... /home/graham/pypy/numba/numba/tests/test_npdatetime.py:410: FutureWarning: In the future, 'NAT >= x' and 'x >= NAT' will always be False.
  self.assertPreciseEqual(ge(a, b), not expected)
/home/graham/pypy/numba/numba/tests/test_npdatetime.py:409: FutureWarning: In the future, 'NAT < x' and 'x < NAT' will always be False.
  self.assertPreciseEqual(lt(a, b), expected)
ok
test_mul (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_neg (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_pos (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_sub (numba.tests.test_npdatetime.TestTimedeltaArithmetic) ... ok
test_abs (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_add (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_div (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_eq_ne (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_homogenous_div (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_le_gt (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_lt_ge (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_mul (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_neg (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_pos (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_sub (numba.tests.test_npdatetime.TestTimedeltaArithmeticNoPython) ... ok
test_argsort_float (numba.tests.test_sort.TestNumpySort) ... ERROR
test_argsort_int (numba.tests.test_sort.TestNumpySort) ... ERROR
test_array_sort_float (numba.tests.test_sort.TestNumpySort) ... ERROR
test_array_sort_int (numba.tests.test_sort.TestNumpySort) ... ERROR
test_np_sort_float (numba.tests.test_sort.TestNumpySort) ... ERROR
test_np_sort_int (numba.tests.test_sort.TestNumpySort) ... ERROR
test_list_sort (numba.tests.test_sort.TestPythonSort) ... ERROR
test_list_sort_reverse (numba.tests.test_sort.TestPythonSort) ... ERROR
test_sorted (numba.tests.test_sort.TestPythonSort) ... ERROR
test_sorted_reverse (numba.tests.test_sort.TestPythonSort) ... ERROR
test_insertion_sort (numba.tests.test_sort.TestQuicksortArrays) ... ERROR
test_partition (numba.tests.test_sort.TestQuicksortArrays) ... ERROR
test_partition3 (numba.tests.test_sort.TestQuicksortArrays) ... ok
test_run_quicksort (numba.tests.test_sort.TestQuicksortArrays) ... ERROR
test_run_quicksort_lt (numba.tests.test_sort.TestQuicksortArrays) ... ERROR
test_insertion_sort (numba.tests.test_sort.TestQuicksortPurePython) ... ok
test_partition (numba.tests.test_sort.TestQuicksortPurePython) ... ok
test_partition3 (numba.tests.test_sort.TestQuicksortPurePython) ... ok
test_run_quicksort (numba.tests.test_sort.TestQuicksortPurePython) ... ok
test_run_quicksort_lt (numba.tests.test_sort.TestQuicksortPurePython) ... ok
test_binarysort (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_binarysort_with_values (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_count_run (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_gallop_left (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_gallop_right (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_merge_compute_minrun (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_merge_lo_hi (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_run_timsort (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_run_timsort_with_values (numba.tests.test_sort.TestTimsortArrays) ... ERROR
test_binarysort (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_binarysort_with_values (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_count_run (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_gallop_left (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_gallop_right (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_at (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_compute_minrun (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_force_collapse (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_lo_hi (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_run_timsort (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_run_timsort_with_values (numba.tests.test_sort.TestTimsortArraysPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_binarysort (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_binarysort_with_values (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_count_run (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_gallop_left (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_gallop_right (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_at (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_compute_minrun (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_force_collapse (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_merge_lo_hi (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_run_timsort (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_run_timsort_with_values (numba.tests.test_sort.TestTimsortPurePython) ... skipped 'PYPY FIXME... disabled as it seems to take a long time.'
test_array_return (numba.tests.test_array_return.TestArrayReturn) ... ok
test_array_return_start_with_loop (numba.tests.test_array_return.TestArrayReturn) ... ok
test_del_at_beginning_of_loop (numba.tests.test_nrt_refct.TestNrtRefCt) ... ok
test_escaping_var_init_in_loop (numba.tests.test_nrt_refct.TestNrtRefCt) ... ok
test_invalid_computation_of_lifetime (numba.tests.test_nrt_refct.TestNrtRefCt) ... FAIL
test_no_return (numba.tests.test_nrt_refct.TestNrtRefCt) ... ok
test_len (numba.tests.test_extending.TestHighLevelExtending) ... ERROR
